"filename", "language", "Properties", "Markdown", "XML", "Python", "Batch", "JSON", "comment", "blank", "total"
"c:\Users\ander\Desktop\Kirby\NFCAutomation\.artifacts\5f3343c0-7e0f-44c5-af4c-e88c944e1aa1\implementation_plan.artifact.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 9, 26
"c:\Users\ander\Desktop\Kirby\NFCAutomation\.artifacts\5f3343c0-7e0f-44c5-af4c-e88c944e1aa1\task.artifact.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ander\Desktop\Kirby\NFCAutomation\.artifacts\5f3343c0-7e0f-44c5-af4c-e88c944e1aa1\walkthrough.artifact.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 9, 30
"c:\Users\ander\Desktop\Kirby\NFCAutomation\.artifacts\f0b4f91e-6244-4747-a09b-9e0a9a775979\implementation_plan.artifact.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 11, 33
"c:\Users\ander\Desktop\Kirby\NFCAutomation\.artifacts\f0b4f91e-6244-4747-a09b-9e0a9a775979\task.artifact.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ander\Desktop\Kirby\NFCAutomation\.artifacts\f0b4f91e-6244-4747-a09b-9e0a9a775979\walkthrough.artifact.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 9, 33
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\AndroidManifest.xml", "XML", 0, 0, 81, 0, 0, 0, 4, 11, 96
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\bridge.py", "Python", 0, 0, 0, 70, 0, 0, 8, 17, 95
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\actions.py", "Python", 0, 0, 0, 5, 0, 0, 7, 2, 14
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\activate_vibration.py", "Python", 0, 0, 0, 52, 0, 0, 11, 13, 76
